"evt","perceived_at","game_id","season","day","drainer_id","drainer_name","drained_id","drained_name"
"The Blooddrain gurgled! Annie Roland siphoned some of Brock Forbes's hitting ability!","2020-09-07 16:10:55.548","83ebf7c5-1902-41f5-b2e4-4d832196f055",5,0,"4f7d7490-7281-4f8f-b62e-37e99a7c46a0","Annie Roland","97dfc1f6-ac94-4cdc-b0d5-1cb9f8984aa5","Brock Forbes"
"The Blooddrain gurgled! Dickerson Morse siphoned some of Ortiz Morse's baserunning ability!","2020-09-08 05:02:45.576","78354c96-79fe-44ec-b27b-3df4e29c1b36",5,13,"b39b5aae-8571-4c90-887a-6a00f2a2f6fd","Dickerson Morse","d8742d68-8fce-4d52-9a49-f4e33bd2a6fc","Ortiz Morse"
"The Blooddrain gurgled! Montgomery Bullock siphoned some of Alaynabella Hollywood's pitching ability!","2020-09-08 14:19:16.496","5b36c45e-414a-49b3-822a-f56a9480cecc",5,22,"1ffb1153-909d-44c7-9df1-6ed3a9a45bbd","Montgomery Bullock","f2468055-e880-40bf-8ac6-a0763d846eb2","Alaynabella Hollywood"
"The Blooddrain gurgled! Baby Doyle siphoned some of Fynn Doyle's baserunning ability!","2020-09-08 14:25:37.036","5eda585e-7f88-48c2-8d25-e0eacb1ceb3f",5,22,"678170e4-0688-436d-a02d-c0467f9af8c0","Baby Doyle","378c07b0-5645-44b5-869f-497d144c7b35","Fynn Doyle"
"The Blooddrain gurgled! Lang Richardson siphoned some of Yeong-Ho Garcia's hitting ability!","2020-09-08 17:08:50.882","6860d99c-557d-4138-aa00-2ad23c2b7289",5,25,"da0bbbe6-d13c-40cc-9594-8c476975d93d","Lang Richardson","9397ed91-608e-4b13-98ea-e94c795f651e","Yeong-Ho Garcia"
"The Blooddrain gurgled! Sigmund Castillo siphoned some of Nagomi Mcdaniel's baserunning ability!","2020-09-08 20:03:56.787","d4c1cf2d-c960-482f-acdc-6331b70dd9ea",5,28,"126fb128-7c53-45b5-ac2b-5dbf9943d71b","Sigmund Castillo","c0732e36-3731-4f1a-abdc-daa9563b6506","Nagomi Mcdaniel"
"The Blooddrain gurgled! Don Mitchell siphoned some of Jacob Haynes's defensive ability!","2020-09-09 00:30:49.786","25de0442-6752-4608-82fd-9dc8dc8be32e",5,32,"11de4da3-8208-43ff-a1ff-0b3480a0fbf1","Don Mitchell","51c5473a-7545-4a9a-920d-d9b718d0e8d1","Jacob Haynes"
"The Blooddrain gurgled! Alyssa Harrell siphoned some of Kennedy Cena's defensive ability!","2020-09-09 07:20:02.438","d785c6de-f462-40f0-8e7d-c9faabb40a6d",5,39,"80de2b05-e0d4-4d33-9297-9951b2b5c950","Alyssa Harrell","66cebbbf-9933-4329-924a-72bd3718f321","Kennedy Cena"
"The Blooddrain gurgled! Beasley Gloom siphoned some of Lawrence Horne's pitching ability!","2020-09-09 10:06:29.739","99c302a0-7d59-4734-9821-306208f3cf00",5,42,"36786f44-9066-4028-98d9-4fa84465ab9e","Beasley Gloom","2b9f9c25-43ec-4f0b-9937-a5aa23be0d9e","Lawrence Horne"
"The Blooddrain gurgled! Rafael Davids siphoned some of Eduardo Woodman's pitching ability!","2020-09-09 20:23:34.202","6d919cb4-5fdb-4c63-851c-fc53ecd7140c",5,52,"7007cbd3-7c7b-44fd-9d6b-393e82b1c06e","Rafael Davids","32810dca-825c-4dbc-8b65-0702794c424e","Eduardo Woodman"
"The Blooddrain gurgled! Cory Ross siphoned some of Elijah Valenzuela's defensive ability!","2020-09-10 04:22:56.993","feb28560-a1be-4341-9e6b-ee2eea4a290b",5,60,"17397256-c28c-4cad-85f2-a21768c66e67","Cory Ross","2f3d7bc7-6ffb-40c3-a94f-5e626be413c9","Elijah Valenzuela"
"The Blooddrain gurgled! Summers Pony siphoned some of Karato Bean's baserunning ability!","2020-09-10 05:19:58.308","60a9476c-448a-406e-8c30-2216736e148b",5,61,"81a0889a-4606-4f49-b419-866b57331383","Summers Pony","7158d158-e7bf-4e9b-9259-62e5b25e3de8","Karato Bean"
"The Blooddrain gurgled! Agan Harrison siphoned some of Mullen Peterson's pitching ability!","2020-09-10 07:08:32.154","dedc84ec-0482-4d6c-8b89-fd18a60e50b3",5,63,"f4a5d734-0ade-4410-abb6-c0cd5a7a1c26","Agan Harrison","16aff709-e855-47c8-8818-b9ba66e90fe8","Mullen Peterson"
"The Blooddrain gurgled! Eizabeth Elliott siphoned some of Evelton McBlase's baserunning ability!","2020-09-11 09:15:46.757","a69b78ef-2000-41cb-9b1f-297980e10076",5,89,"aa6c2662-75f8-4506-aa06-9a0993313216","Eizabeth Elliott","a5f8ce83-02b2-498c-9e48-533a1d81aebf","Evelton McBlase"
"The Blooddrain gurgled! Hiroto Cerna siphoned some of Dudley Mueller's defensive ability!","2020-09-11 10:09:26.181","5953bb54-5fae-4fdc-9383-013c76e50078",5,90,"d51f1fe8-4ab8-411e-b836-5bba92984d32","Hiroto Cerna","2b5f5dd7-e31f-4829-bec5-546652103bc0","Dudley Mueller"
"The Blooddrain gurgled! Marquez Clark siphoned some of Valentine Games's defensive ability!","2020-09-15 06:06:44.291","9951a9ce-1e36-46f9-8483-207e6cccbefa",6,14,"53e701c7-e3c8-4e18-ba05-9b41b4b64cda","Marquez Clark","c675fcdf-6117-49a6-ac32-99a89a3a88aa","Valentine Games"
"The Blooddrain gurgled! Annie Roland siphoned some of Nagomi Meng's hitting ability!","2020-09-15 06:19:08.666","ee898329-43a7-481c-8e44-6fbf43efb098",6,14,"4f7d7490-7281-4f8f-b62e-37e99a7c46a0","Annie Roland","9abe02fb-2b5a-432f-b0af-176be6bd62cf","Nagomi Meng"
"The Blooddrain gurgled! José Haley siphoned some of Greer Lott's hitting ability!","2020-09-15 07:26:05.425","49c90e18-d57f-4654-b58e-4e3d93e1f035",6,15,"bd8d58b6-f37f-48e6-9919-8e14ec91f92a","José Haley","e6502bc7-5b76-4939-9fb8-132057390b30","Greer Lott"
"The Blooddrain gurgled! Elijah Valenzuela siphoned some of Boyfriend Monreal's baserunning ability!","2020-09-15 11:24:29.419","9e60a305-948e-4df5-9d84-c7cd557c14e2",6,19,"2f3d7bc7-6ffb-40c3-a94f-5e626be413c9","Elijah Valenzuela","493a83de-6bcf-41a1-97dd-cc5e150548a3","Boyfriend Monreal"
"The Blooddrain gurgled! NaN siphoned some of Helga Moreno's hitting ability!","2020-09-15 14:13:30.821","1a59bc76-c5f9-4381-a8ba-63f5687f21f2",6,22,"1f159bab-923a-4811-b6fa-02bfde50925a","NaN","0eea4a48-c84b-4538-97e7-3303671934d2","Helga Moreno"
"The Blooddrain gurgled! Declan Suzanne siphoned some of Gloria Bugsnax's defensive ability!","2020-09-15 16:17:57.133","58d18a7e-3ee0-463f-8837-6c711b64f18f",6,24,"bfd9ff52-9bf6-4aaf-a859-d308d8f29616","Declan Suzanne","8cd06abf-be10-4a35-a3ab-1a408a329147","Gloria Bugsnax"
"The Blooddrain gurgled! Basilio Fig siphoned some of Lachlan Shelton's baserunning ability!","2020-09-15 20:05:20.648","b3d2cbb2-873c-4210-bf79-56f2b1a15a69",6,28,"c755efce-d04d-4e00-b5c1-d801070d3808","Basilio Fig","9f85676a-7411-444a-8ae2-c7f8f73c285c","Lachlan Shelton"
"The Blooddrain gurgled! Wyatt Pothos siphoned some of Velasquez Alstott's pitching ability!","2020-09-15 20:15:16.72","b3d2cbb2-873c-4210-bf79-56f2b1a15a69",6,28,"ea44bd36-65b4-4f3b-ac71-78d87a540b48","Wyatt Pothos","4ca52626-58cd-449d-88bb-f6d631588640","Velasquez Alstott"
"The Blooddrain gurgled! Dominic Marijuana siphoned some of Dunn Keyes's hitting ability!","2020-09-15 21:13:31.834","bf61dc72-8857-4815-af72-54e59f53aa5f",6,29,"7310c32f-8f32-40f2-b086-54555a2c0e86","Dominic Marijuana","ff5a37d9-a6dd-49aa-b6fb-b935fd670820","Dunn Keyes"
"The Blooddrain gurgled! Kennedy Meh siphoned some of Lawrence Horne's defensive ability!","2020-09-16 02:15:49.166","a7f95fbf-90fe-4497-9862-d43f82a4cd11",6,33,"23110c0f-2cf9-4d9c-ab2d-634f2f18867e","Kennedy Meh","2b9f9c25-43ec-4f0b-9937-a5aa23be0d9e","Lawrence Horne"
"The Blooddrain gurgled! Alaynabella Hollywood siphoned some of Rivers Clembons's baserunning ability!","2020-09-16 04:29:18.054","1fea1077-19d9-4910-bf1f-13eb9228d3a1",6,35,"f2468055-e880-40bf-8ac6-a0763d846eb2","Alaynabella Hollywood","af6b3edc-ed52-4edc-b0c9-14e0a5ae0ee3","Rivers Clembons"
"The Blooddrain gurgled! Murray Pony siphoned some of Sigmund Castillo's hitting ability!","2020-09-16 05:19:12.276","a0d473d5-e0e3-4350-9dd8-651750a625f0",6,36,"2ca0c790-e1d5-4a14-ab3c-e9241c87fc23","Murray Pony","126fb128-7c53-45b5-ac2b-5dbf9943d71b","Sigmund Castillo"
"The Blooddrain gurgled! Curry Aliciakeyes siphoned some of Cornelius Games's pitching ability!","2020-09-16 06:19:52","4e70f005-cdfe-4006-bb62-9b9c6ecae317",6,37,"09f2787a-3352-41a6-8810-d80e97b253b5","Curry Aliciakeyes","03f920cc-411f-44ef-ae66-98a44e883291","Cornelius Games"
"The Blooddrain gurgled! Sutton Picklestein siphoned some of Miguel Wheeler's hitting ability!","2020-09-16 15:07:46.514","ccac0b91-292b-40dd-b224-37733474523f",6,46,"4e6ad1a1-7c71-49de-8bd5-c286712faf9e","Sutton Picklestein","cd68d3a6-7fbc-445d-90f1-970c955e32f4","Miguel Wheeler"
"The Blooddrain gurgled! Arturo Huerta siphoned some of Cory Ross's pitching ability!","2020-09-16 15:16:02.546","ad85763f-4737-44a4-aa9d-f9ef71297030",6,46,"6f9de777-e812-4c84-915c-ef283c9f0cde","Arturo Huerta","17397256-c28c-4cad-85f2-a21768c66e67","Cory Ross"
"The Blooddrain gurgled! Marquez Clark siphoned some of Workman Gloom's hitting ability!","2020-09-16 19:04:44.454","43752ed7-00b9-41cc-aaf5-108080540b8f",6,50,"53e701c7-e3c8-4e18-ba05-9b41b4b64cda","Marquez Clark","bd4c6837-eeaa-4675-ae48-061efa0fd11a","Workman Gloom"
"The Blooddrain gurgled! Valentine Games siphoned some of Yazmin Mason's hitting ability!","2020-09-17 00:18:10.173","185d8216-7efd-4738-8047-1543060127e0",6,55,"c675fcdf-6117-49a6-ac32-99a89a3a88aa","Valentine Games","afc90398-b891-4cdf-9dea-af8a3a79d793","Yazmin Mason"
"The Blooddrain gurgled! Lowe Forbes siphoned some of Basilio Mason's pitching ability!","2020-09-17 00:27:07.591","cbe9a846-9e75-4404-9d18-767833b75a92",6,55,"b348c037-eefc-4b81-8edd-dfa96188a97e","Lowe Forbes","27c68d7f-5e40-4afa-8b6f-9df47b79e7dd","Basilio Mason"
"The Blooddrain gurgled! Beans McBlase siphoned some of Nolanestophia Patterson's defensive ability!","2020-09-17 05:20:30.875","5b64b6eb-62fb-4b2c-8344-7f39d7ae4b38",6,60,"dddb6485-0527-4523-9bec-324a5b66bf37","Beans McBlase","7e9a514a-7850-4ed0-93ab-f3a6e2f41c03","Nolanestophia Patterson"
"The Blooddrain gurgled! Theodore Duende siphoned some of PolkaDot Zavala's hitting ability!","2020-09-17 06:20:14.387","5b62f901-c99e-44d3-b6e9-cbc7d60bafb4",6,61,"f3ddfd87-73a2-4681-96fe-829476c97886","Theodore Duende","7663c3ca-40a1-4f13-a430-14637dce797a","PolkaDot Zavala"
"The Blooddrain gurgled! Malik Romayne siphoned some of Nic Winkler's baserunning ability!","2020-09-17 07:20:50.933","08806c40-76fb-4cdf-952e-15c22659a689",6,62,"f56657d3-3bdc-4840-a20c-91aca9cc360e","Malik Romayne","855775c1-266f-40f6-b07b-3a67ccdf8551","Nic Winkler"
"The Blooddrain gurgled! Axel Trololol siphoned some of Caleb Alvarado's pitching ability!","2020-09-17 10:14:34.844","7d57c95f-916b-49f8-855a-c02ed0ed28b4",6,65,"3af96a6b-866c-4b03-bc14-090acf6ecee5","Axel Trololol","1513aab6-142c-48c6-b43e-fbda65fd64e8","Caleb Alvarado"
"The Blooddrain gurgled! Tillman Henderson siphoned some of Miguel James's baserunning ability!","2020-09-17 18:04:06.688","7d4b5c64-1e56-46d3-8a78-6159cebdab01",6,73,"f70dd57b-55c4-4a62-a5ea-7cc4bf9d8ac1","Tillman Henderson","333067fd-c2b4-4045-a9a4-e87a8d0332d0","Miguel James"
"The Blooddrain gurgled! Igneus Delacruz siphoned some of Mcdowell Mason's hitting ability!","2020-09-18 01:11:07.217","e7fbe523-2bed-4f95-9423-55eae77e6c46",6,80,"4f69e8c2-b2a1-4e98-996a-ccf35ac844c5","Igneus Delacruz","63df8701-1871-4987-87d7-b55d4f1df2e9","Mcdowell Mason"
"The Blooddrain gurgled! Montgomery Bullock siphoned some of Helga Moreno's pitching ability!","2020-09-18 02:13:21.265","eea87ba6-992b-474c-b39e-33b8149ed05c",6,81,"1ffb1153-909d-44c7-9df1-6ed3a9a45bbd","Montgomery Bullock","0eea4a48-c84b-4538-97e7-3303671934d2","Helga Moreno"
"The Blooddrain gurgled! Swamuel Mora siphoned some of Morrow Wilson's defensive ability!","2020-09-18 02:22:45.487","1f31dba9-c310-4841-9358-8764c90483b6",6,81,"c182f33c-aea5-48a2-97ed-dc74fa29b3c0","Swamuel Mora","06ced607-7f96-41e7-a8cd-b501d11d1a7e","Morrow Wilson"
"The Blooddrain gurgled! Usurper Violet siphoned some of Summers Pony's defensive ability!","2020-09-18 06:25:15.094","9929fb4b-922f-450e-8e0c-16cb6f871449",6,85,"f245f6c6-4613-40f5-bc3b-85aa9ee3cf7e","Usurper Violet","81a0889a-4606-4f49-b419-866b57331383","Summers Pony"
"The Blooddrain gurgled! Wesley Poole siphoned some of Cannonball Sports's pitching ability!","2020-09-18 16:23:51.458","f586a1c0-b4c8-4c7a-a109-bfc23b5bfb82",6,94,"e4e4c17d-8128-4704-9e04-f244d4573c4d","Wesley Poole","c0998a08-de15-4187-b903-2e096ffa08e5","Cannonball Sports"
"The Blooddrain gurgled! Steph Weeks siphoned some of Morrow Wilson's hitting ability!","2020-09-18 20:29:20.328","f0b4ee7d-d61a-49f0-bb3d-d63692f9db1b",6,98,"18f45a1b-76eb-4b59-a275-c64cf62afce0","Steph Weeks","06ced607-7f96-41e7-a8cd-b501d11d1a7e","Morrow Wilson"
"The Blooddrain gurgled! Justice Spoon siphoned some of Alexander Horne's hitting ability!","2020-09-21 18:09:14.371","b8963e3d-1b35-463f-8c97-93f427ed9dce",7,2,"43d5da5f-c6a1-42f1-ab7f-50ea956b6cd5","Justice Spoon","c9e4a49e-e35a-4034-a4c7-293896b40c58","Alexander Horne"
"The Blooddrain gurgled! Conrad Vaughan siphoned some of NaN's defensive ability!","2020-09-21 22:00:47.361","77f535b8-29f4-4637-9cd1-478989fecfb1",7,6,"5dbf11c0-994a-4482-bd1e-99379148ee45","Conrad Vaughan","1f159bab-923a-4811-b6fa-02bfde50925a","NaN"
"The Blooddrain gurgled! Pitching Machine siphoned some of Ortiz Lopez's pitching ability!","2020-09-22 03:16:21.962","1dbefa00-a4e0-4dea-aa48-2e583dcc80e3",7,11,"de21c97e-f575-43b7-8be7-ecc5d8c4eaff","Pitching Machine","2b157c5c-9a6a-45a6-858f-bf4cf4cbc0bd","Ortiz Lopez"
"The Blooddrain gurgled! Cell Barajas siphoned some of Sixpack Dogwalker's hitting ability!","2020-09-22 09:06:26.576","dfac3af3-2714-4638-b417-92bcae748b2b",7,17,"bd8778e5-02e8-4d1f-9c31-7b63942cc570","Cell Barajas","3a96d76a-c508-45a0-94a0-8f64cd6beeb4","Sixpack Dogwalker"
"The Blooddrain gurgled! Christian Combs siphoned some of Burke Gonzales's hitting ability!","2020-09-22 09:24:51.573","dfac3af3-2714-4638-b417-92bcae748b2b",7,17,"9ac2e7c5-5a34-4738-98d8-9f917bc6d119","Christian Combs","65273615-22d5-4df1-9a73-707b23e828d5","Burke Gonzales"
"The Blooddrain gurgled! Nerd Pacheco siphoned some of Kennedy Meh's hitting ability!","2020-09-22 10:06:52.809","3c09a24d-1749-4688-b217-fbd5b175d494",7,18,"190a0f31-d686-4ac4-a7f3-cfc87b72c145","Nerd Pacheco","23110c0f-2cf9-4d9c-ab2d-634f2f18867e","Kennedy Meh"
"The Blooddrain gurgled! Paula Turnip siphoned some of Jenkins Good's baserunning ability!","2020-09-22 13:19:44.493","12f2d3b8-be43-40ee-97cc-710980649fe1",7,21,"5bcfb3ff-5786-4c6c-964c-5c325fcc48d7","Paula Turnip","a691f2ba-9b69-41f8-892c-1acd42c336e4","Jenkins Good"
"The Blooddrain gurgled! Curry Aliciakeyes siphoned some of Fletcher Yamamoto's pitching ability!","2020-09-22 14:20:33.436","5f0202e4-20fc-4684-abf4-bc07d639bf99",7,22,"09f2787a-3352-41a6-8810-d80e97b253b5","Curry Aliciakeyes","1e8b09bd-fbdd-444e-bd7e-10326bd57156","Fletcher Yamamoto"
"The Blooddrain gurgled! Tamara Crankit siphoned some of Moses Mason's hitting ability!","2020-09-22 21:05:44.126292","dd437353-3088-4e0f-8906-c7abeec3b81d",7,29,"0f61d948-4f0c-4550-8410-ae1c7f9f5613","Tamara Crankit","75f9d874-5e69-438d-900d-a3fcb1d429b3","Moses Mason"
"The Blooddrain gurgled! Joshua Watson siphoned some of Stew Briggs's hitting ability!","2020-09-23 00:33:40.116122","7bf6db9b-aa27-4352-9f45-170eefda9426",7,32,"d6c69d2d-9344-4b19-85a4-6cfcbaead5d2","Joshua Watson","46721a07-7cd2-4839-982e-7046df6e8b66","Stew Briggs"
"The Blooddrain gurgled! Gallup Crueller siphoned some of Randy Castillo's defensive ability!","2020-09-23 04:16:54.107321","e129297b-3f09-4d0d-90da-a5ec7fd0ae00",7,36,"e7ecf646-e5e4-49ef-a0e3-10a78e87f5f4","Gallup Crueller","7932c7c7-babb-4245-b9f5-cdadb97c99fb","Randy Castillo"
"The Blooddrain gurgled! Beck Whitney siphoned some of Sexton Wheerer's baserunning ability!","2020-09-23 20:10:36.11157","8b8194bb-7342-4b30-8c81-b0b3bf23aed6",7,52,"7a75d626-d4fd-474f-a862-473138d8c376","Beck Whitney","0bb35615-63f2-4492-80ec-b6b322dc5450","Sexton Wheerer"
"The Blooddrain gurgled! Sandoval Crossing siphoned some of Nic Winkler's pitching ability!","2020-09-23 22:26:36.110216","d9e179c9-dcfe-4136-a1db-0a056f1bae00",7,54,"5703141c-25d9-46d0-b680-0cf9cfbf4777","Sandoval Crossing","855775c1-266f-40f6-b07b-3a67ccdf8551","Nic Winkler"
"The Blooddrain gurgled! Rafael Davids siphoned some of Lenny Spruce's pitching ability!","2020-09-24 00:06:40.113486","db211645-2a62-4893-83f3-109c2ad647cb",7,56,"7007cbd3-7c7b-44fd-9d6b-393e82b1c06e","Rafael Davids","c09e64b6-8248-407e-b3af-1931b880dbee","Lenny Spruce"
"The Blooddrain gurgled! PolkaDot Zavala siphoned some of Cell Barajas's pitching ability!","2020-09-24 00:14:44.106879","db211645-2a62-4893-83f3-109c2ad647cb",7,56,"7663c3ca-40a1-4f13-a430-14637dce797a","PolkaDot Zavala","bd8778e5-02e8-4d1f-9c31-7b63942cc570","Cell Barajas"
"The Blooddrain gurgled! Kennedy Meh siphoned some of Aldon Cashmoney's defensive ability!","2020-09-24 00:21:26.132129","cb4db2e8-4f0a-4513-953b-d8f46631ff62",7,56,"23110c0f-2cf9-4d9c-ab2d-634f2f18867e","Kennedy Meh","efafe75e-2f00-4418-914c-9b6675d39264","Aldon Cashmoney"
"The Blooddrain gurgled! Ron Monstera siphoned some of Winnie Hess's pitching ability!","2020-09-24 01:23:12.12089","079a1c2e-6807-456b-ba6b-a4addf92370f",7,57,"41949d4d-b151-4f46-8bf7-73119a48fac8","Ron Monstera","f2a27a7e-bf04-4d31-86f5-16bfa3addbe7","Winnie Hess"
"The Blooddrain gurgled! Leach Herman siphoned some of Beasley Day's pitching ability!","2020-09-24 03:06:55.107311","a97905c9-b4af-4d03-ada9-3cbcb422a013",7,59,"b7ca8f3f-2fdc-477b-84f4-157f2802e9b5","Leach Herman","26cfccf2-850e-43eb-b085-ff73ad0749b8","Beasley Day"
"The Blooddrain gurgled! Holden Stanton siphoned some of Adalberto Tosser's hitting ability!","2020-09-24 11:22:16.128694","41b5f1ad-9a40-4b75-8104-d9af6b99cc54",7,67,"817dee99-9ccf-4f41-84e3-dc9773237bc8","Holden Stanton","d0d7b8fe-bad8-481f-978e-cb659304ed49","Adalberto Tosser"
"The Blooddrain gurgled! Brock Forbes siphoned some of Hendricks Richardson's pitching ability!","2020-09-24 13:18:46.106185","71b6b23c-3b17-4d37-8eae-01dcecc2c42e",7,69,"97dfc1f6-ac94-4cdc-b0d5-1cb9f8984aa5","Brock Forbes","cf8e152e-2d27-4dcc-ba2b-68127de4e6a4","Hendricks Richardson"
"The Blooddrain gurgled! Pitching Machine siphoned some of Igneus Delacruz's pitching ability!","2020-09-24 17:20:06.118815","e4e9252e-6599-4fd7-a3c5-6fbcb8bd6cfa",7,73,"de21c97e-f575-43b7-8be7-ecc5d8c4eaff","Pitching Machine","4f69e8c2-b2a1-4e98-996a-ccf35ac844c5","Igneus Delacruz"
"The Blooddrain gurgled! Joshua Butt siphoned some of Jacob Haynes's defensive ability!","2020-09-24 17:36:20.115613","ef5f034f-03e9-4203-a53d-a31b256694cb",7,73,"69196296-f652-42ff-b2ca-0d9b50bd9b7b","Joshua Butt","51c5473a-7545-4a9a-920d-d9b718d0e8d1","Jacob Haynes"
"The Blooddrain gurgled! Thomas Dracaena siphoned some of Sexton Wheerer's hitting ability!","2020-09-24 21:17:05.118179","2e02d86f-3045-4676-9402-371fcada04f0",7,77,"4b3e8e9b-6de1-4840-8751-b1fb45dc5605","Thomas Dracaena","0bb35615-63f2-4492-80ec-b6b322dc5450","Sexton Wheerer"
"The Blooddrain gurgled! Helga Moreno siphoned some of Conrad Vaughan's defensive ability!","2020-09-24 22:00:24.028083","7bb08972-5dca-4ffe-8e63-8ab01353cb57",7,78,"0eea4a48-c84b-4538-97e7-3303671934d2","Helga Moreno","5dbf11c0-994a-4482-bd1e-99379148ee45","Conrad Vaughan"
"The Blooddrain gurgled! Justice Spoon siphoned some of Lowe Forbes's hitting ability!","2020-09-25 05:04:18.609773","d0714e45-7b1e-420b-825e-c8d696ac1fd2",7,85,"43d5da5f-c6a1-42f1-ab7f-50ea956b6cd5","Justice Spoon","b348c037-eefc-4b81-8edd-dfa96188a97e","Lowe Forbes"
"The Blooddrain gurgled! Fitzgerald Blackburn siphoned some of Pitching Machine's hitting ability!","2020-09-25 05:13:42.607707","aa0639ae-5641-43b4-936a-69e21747d99a",7,85,"8ecea7e0-b1fb-4b74-8c8c-3271cb54f659","Fitzgerald Blackburn","de21c97e-f575-43b7-8be7-ecc5d8c4eaff","Pitching Machine"
"The Blooddrain gurgled! Yeong-Ho Benitez siphoned some of Sixpack Dogwalker's baserunning ability!","2020-09-25 07:21:26.608094","d8f297d7-c0b5-49c4-95f0-d7889bd4c87b",7,87,"ecb8d2f5-4ff5-4890-9693-5654e00055f6","Yeong-Ho Benitez","3a96d76a-c508-45a0-94a0-8f64cd6beeb4","Sixpack Dogwalker"
"The Blooddrain gurgled! Sixpack Santiago siphoned some of Jacob Haynes's pitching ability!","2020-09-25 09:11:26.606989","5ee724f7-3d98-44c6-8636-a9086f5b8f67",7,89,"a38ada0a-aeac-4a3d-b9a5-968687ccd2f9","Sixpack Santiago","51c5473a-7545-4a9a-920d-d9b718d0e8d1","Jacob Haynes"
"The Blooddrain gurgled! Yong Wright siphoned some of Kennedy Loser's defensive ability!","2020-10-05 18:18:51.109603","b7815910-48ea-489f-950b-4de207965796",8,2,"ce0e57a7-89f5-41ea-80f9-6e649dd54089","Yong Wright","84a2b5f6-4955-4007-9299-3d35ae7135d3","Kennedy Loser"
"The Blooddrain gurgled! Baby Urlacher siphoned some of Tamara Crankit's defensive ability!","2020-10-05 22:10:01.503849","b379261e-f8ce-4067-89b4-40ee5e6fa50e",8,6,"ad8d15f4-e041-4a12-a10e-901e6285fdc5","Baby Urlacher","0f61d948-4f0c-4550-8410-ae1c7f9f5613","Tamara Crankit"
"The Blooddrain gurgled! Pedro Davids siphoned some of Mcdowell Mason's baserunning ability!","2020-10-06 01:18:41.112188","0e741607-56e3-4fd3-9fbe-9682d84e4086",8,9,"1a93a2d2-b5b6-479b-a595-703e4a2f3885","Pedro Davids","63df8701-1871-4987-87d7-b55d4f1df2e9","Mcdowell Mason"
"The Blooddrain gurgled! Luis Acevedo siphoned some of Vito Kravitz's hitting ability!","2020-10-06 01:20:37.114815","0e741607-56e3-4fd3-9fbe-9682d84e4086",8,9,"425f3f84-bab0-4cf2-91c1-96e78cf5cd02","Luis Acevedo","2e13249e-38ff-46a2-a55e-d15fa692468a","Vito Kravitz"
"The Blooddrain gurgled! Hendricks Richardson siphoned some of Justice Spoon's baserunning ability!","2020-10-06 15:10:17.128132","01d2a55d-4ed7-440d-8c64-f2c0a0dfbc25",8,23,"cf8e152e-2d27-4dcc-ba2b-68127de4e6a4","Hendricks Richardson","43d5da5f-c6a1-42f1-ab7f-50ea956b6cd5","Justice Spoon"
"The Blooddrain gurgled! Burke Gonzales siphoned some of Baby Doyle's pitching ability!","2020-10-07 13:16:53.612828","e583b752-5650-4071-ab25-7a7a703e0484",8,45,"65273615-22d5-4df1-9a73-707b23e828d5","Burke Gonzales","678170e4-0688-436d-a02d-c0467f9af8c0","Baby Doyle"
"The Blooddrain gurgled! Lowe Forbes siphoned some of Montgomery Bullock's pitching ability!","2020-10-09 16:23:17.108305","e234128d-1da8-4b80-96e7-fb0058e1e63a",8,96,"b348c037-eefc-4b81-8edd-dfa96188a97e","Lowe Forbes","1ffb1153-909d-44c7-9df1-6ed3a9a45bbd","Montgomery Bullock"
"The Blooddrain gurgled! Arturo Huerta siphoned some of Ronan Jaylee's pitching ability!","2020-10-09 18:21:35.10975","2b61b102-b8eb-4c8c-b9ec-6f45ddaffadc",8,98,"6f9de777-e812-4c84-915c-ef283c9f0cde","Arturo Huerta","042962c8-4d8b-44a6-b854-6ccef3d82716","Ronan Jaylee"
